,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
23876,50763,2013-08-15 22:00:00,2013-09-07 22:00:00,4,32,38,38,34.0,2013,2013
23877,50764,2013-08-21 22:00:00,2013-12-23 23:00:00,25,35,43,51,42.04,2013,2013
23878,50765,2013-08-07 22:00:00,2017-08-20 22:00:00,208,42,57,57,46.47115384615385,2013,2017
23879,50766,2013-10-24 22:00:00,2013-10-24 22:00:00,5,49,42,49,43.6,2013,2013
23880,50767,2013-08-08 22:00:00,2012-08-13 22:00:00,10,31,31,42,34.7,2013,2012
23881,50771,2013-07-16 22:00:00,2015-03-10 23:00:00,118,49,42,51,41.16949152542373,2013,2015
23882,50772,2013-08-14 22:00:00,2013-08-14 22:00:00,1,37,37,37,37.0,2013,2013
23883,50773,2013-08-08 22:00:00,2017-04-01 22:00:00,85,42,46,53,44.082352941176474,2013,2017
23884,50775,2013-08-15 22:00:00,2017-07-24 22:00:00,417,49,44,57,44.79136690647482,2013,2017
23885,50777,2013-08-14 22:00:00,2013-08-18 22:00:00,7,59,59,61,59.0,2013,2013
23886,50779,2013-08-13 22:00:00,2017-05-26 22:00:00,167,55,49,64,52.41916167664671,2013,2017
23887,50780,2013-08-08 22:00:00,2013-10-12 22:00:00,13,51,57,57,52.23076923076923,2013,2013
23888,50782,2013-08-03 22:00:00,2014-03-08 23:00:00,17,31,40,40,31.705882352941178,2013,2014
23889,50785,2013-08-08 22:00:00,2013-08-08 22:00:00,8,28,21,33,24.25,2013,2013
23890,50786,2013-08-15 22:00:00,2017-04-16 22:00:00,129,40,44,53,40.224806201550386,2013,2017
23891,50787,2013-03-22 23:00:00,2017-05-04 22:00:00,116,45,49,57,46.525862068965516,2013,2017
23892,50793,2013-08-09 22:00:00,2017-08-07 22:00:00,51,42,46,53,40.705882352941174,2013,2017
23893,50794,2013-06-14 22:00:00,2013-09-26 22:00:00,7,62,51,62,53.714285714285715,2013,2013
23894,50796,2013-08-28 22:00:00,2016-05-21 22:00:00,31,55,54,58,47.70967741935484,2013,2016
23895,50798,2013-05-12 22:00:00,2014-03-02 23:00:00,10,53,53,62,53.5,2013,2014
23896,50799,2013-08-16 22:00:00,2017-03-23 23:00:00,193,51,55,62,46.97409326424871,2013,2017
23897,50801,2013-08-24 22:00:00,2014-09-06 22:00:00,52,64,64,64,54.40384615384615,2013,2014
23898,50803,2013-08-12 22:00:00,2017-08-11 22:00:00,292,46,33,52,40.66438356164384,2013,2017
23899,50804,2013-08-16 22:00:00,2013-07-25 22:00:00,23,40,33,40,35.21739130434783,2013,2013
23900,50806,2013-10-08 22:00:00,2013-10-16 22:00:00,10,33,31,36,32.6,2013,2013
23901,50809,2013-06-08 22:00:00,2014-10-04 22:00:00,44,46,44,53,42.34090909090909,2013,2014
